"f7","f7 2","w_iUH7","tl-m","w_kV33","gray","gray 2"
"Sep 22, 2022","rodney","5 out of 5 stars review","This is my second Helmer, but I'm actually buying it for a friend. I showed him how freaking cool mine was and he had to have one too. It's an incredibly well made helmet and extremely cool looking.","Money well spent","",""
"Feb 2, 2023","Nima","5 out of 5 stars review","looks and feels good. I am super excited!
the quality seems good. the functions are great. you can put on and take of the visor easily because it has magnets.","Happy to have it","",""
"Oct 3, 2024","Walmart customer","5 out of 5 stars review","I like the light on the back of the helmet and the sun visor on the front of the helmet, like that the helmet is light weight and lets a lot of air flow through it.","Light and airy","",""
"Jul 7, 2024","Rafeal","5 out of 5 stars review","I like it so much","","",""
"Sep 15, 2024","Nikkimenaj","5 out of 5 stars review","Saved my life","Thank you God","",""
"Jan 17, 2025","Bernice","5 out of 5 stars review","Excellent head gear","","",""
"Nov 20, 2023","Mary","1 out of 5 stars review","The first one was the wrong color. The replacement arrived severely damaged. I am trying to get a label to return it.","","",""
"Dec 26, 2023","J","2 out of 5 stars review","I got this for my son but when it was delivered in was a women's bike helmet.  I will be returning it.","Bummed!","",""
"Nov 8, 2022","Dawn","5 out of 5 stars review","Love the fit and color love the reflective stitching and rear light just don't like that the plug part does not come with the wires.","Nice Helmet!","",""
"Sep 8, 2023","Walmart customer","5 out of 5 stars review","They are very comfortable and look great. I like that it has the flashing light on the back for night time.g","","",""
"May 4, 2024","Tom","5 out of 5 stars review","It fits so well and looks good! Love the shaded shield to protect from bugs and wind buffeting around my eyes! It's truly great!","Helmet","",""
"May 1, 2024","Michael","5 out of 5 stars review","I like this helmet. it fits well. light is visible. The eye shield is very handy, would like it if it had a clear one also.","Great helmet","",""
"Feb 2, 2024","Walmart customer","5 out of 5 stars review","love the helmet good air flow like the light in the back of  the helmet.  light weight. like the visor also.","great helmet","",""
"Mar 26, 2024","Matthew","5 out of 5 stars review","Great Helmet! Great color! I got the blue with orange trim! Fits well great visor and comfortable!","Great versatile helmet. nice colors!","",""
"May 28, 2024","Harry","5 out of 5 stars review","It is or soon but buy the look it is of good quality. I will keep this review posted.Guedo","Good helmet","",""
"Aug 14, 2023","Scotty","2 out of 5 stars review","Didn't like how crooked the visor fits on the helmet very uneven totally can tell looks terrible","Visor doesn't fit helmet correctly","",""
"Sep 6, 2023","Lavelle","5 out of 5 stars review","ngwt loads of compliments on this and the battery is still going strong","great purchase","",""
"Dec 6, 2023","MABEL","5 out of 5 stars review","it was so fast!
it will be a gift so review will be provided later","","",""
"Aug 3, 2023","Russell","5 out of 5 stars review","better than quality than what is carried in the stor","","",""
"Sep 11, 2023","Daniel","5 out of 5 stars review","I like the USB rechargeable led in the back","","",""
"Feb 6, 2024","Stephen","5 out of 5 stars review","As described in description and the light is nice also that's it's rechargeable","TBD","",""
"Jun 1, 2023","George","5 out of 5 stars review","Beautiful helmet.  Fits perfectly and looks great","","",""
"May 16, 2024","Shawn","5 out of 5 stars review","Love it   Exactly what I paid for. 
 lightweight and breathable","Great value and quality","",""
"Apr 18, 2023","Kermit","5 out of 5 stars review","The helmet fits great like the light feature goggles don't fit over glasses","Good","",""
"Oct 15, 2023","Rene","5 out of 5 stars review","I like the weight the design the easy accessory assembly and how it feels on my head.","awesome helmet.","",""
"Mar 17, 2024","leonard","5 out of 5 stars review","lightweight and fits good","good product","",""
"Sep 27, 2023","Carol","3 out of 5 stars review","I have a smaller head so could not get the straps comfortable and secure","Not short enough straps","",""
"Jul 10, 2020","Pauline Wright","3 out of 5 stars review","I was very disappointed with the process I needed to go through to attach the visor. The pegs on the visor were just too big for the grommets on the helmet. One went in easily, but I needed to use a dremel tool to widen the other two holes. Not the quality I would expect for the price. The helmet should have shipped with the visor attached.","Visor should be attached","Review from","victgoal.com"
"Jul 9, 2022","Marilyne Atukunda","5 out of 5 stars review","Love this helmet comfortable, light weight and I unfortunately put it to a test this morning I flipped my bike crossing a railroad track (@ about 16mph) on a paved road. The helmet did exactly what it was supposed to! I didn't realize my head had hit the ground because the helmet took the impact. Only when I inspected the helmet I realized how hard I hit.","Crashed with helmet. Didn't even know my head hit the ground","Review from","victgoal.com"
"Sep 11, 2021","Shawna Ritchie","5 out of 5 stars review","This helmet is very comfortable to wear and doesn't feel top heavy at all. It's worth every penny and the sun visor is perfect by itself. What makes this helmet worth it is the visor has plenty of room for sun glasses if you want to wear them. Highly recommended if you're looking for a great helmet.","Excellent","Review from","victgoal.com"
"Aug 9, 2021","Christopher Visser","4 out of 5 stars review","Perfect worth the money, but I'd advise to by multiple visors the night (yellow) and clear ones in particular. I found the standard one that comes with is near useless in terms of visibility at dawn(had to take it off) overall durable and will do a job whatever bike you decide to ride will it be a racer or mountain bike.","DES VULT!","Review from","victgoal.com"
"Oct 16, 2019","Maria Tamale","5 out of 5 stars review","I bought 2 of these... each arrived as if it had already been dropped or scraped.. the paint was blemished out of the box. I returned both fearing if it was this delicate already (new) it wouldn't look great after wearing it a few weeks.REVISED RATINGthe seller reached out to me and was very concerned about my issues I was having with my previous orders. They made sure to send me a helmet without blemishes and followed up to make sure I was happy with my purchase. I ended up buy an additional helmet (same seller and brand) and it too came flawless. I do recommend this seller and this product. If it does come damaged, they will make it right!","Blemished paint 2 orders (REVISED)","Review from","victgoal.com"
"Jan 23, 2022","Chloe White","4 out of 5 stars review","Bought this as a replacement to my old helmet that sacrificed itself while doing its job when I was sideswiped by a MGIF idiot car driver.Only used it once so far. It's very stiff, even the interior padding, it's not as comfortable as my old helmet and the airflow wasn't as good, I sweated - a lot and this was during a ride at 6am on a January morning where the temperature was 1 degree. Time will tell but if it remains like this I can't see myself using it when the weather gets warmer.","Seems sturdy","Review from","victgoal.com"
"Jun 12, 2021","Jacques Ondricka","5 out of 5 stars review","Love this helmet lightweight comfortable Love the visor and the USB rechargeable light on the back of the helmet so there is no battery replacement if you use the light. It comes with a magnetic goggle to attach which works great for attaching and removing easily it said you could flip the goggles upside down if you wanted to not stop using it but keep it on the helmet I have not figured out how to do that with the visor in place. Highly recommend this helmet it has all the bells and whistles.","Love this helmet it has all the bells and whistles You could possibly ask for","Review from","victgoal.com"
"Aug 21, 2021","Thomas Richardson","5 out of 5 stars review","I really like this product. The quick click sun glass is really cool it holds tight during ride but can be pull off with ease. Led light in back work well, nice and bright with multiple settings(I use the blinking one). Very light feeling. I really have enjoyed this helmet.","FANTASTIC!","Review from","victgoal.com"
"May 29, 2020","Lizzie Ross","5 out of 5 stars review","Looks great.I don't use the visor as it is not practical for me.USB-Rechargeable light is a bonus. Although the light is not visible during the day, at night it is probably visible for 20 feet . So don't rely on that for safety, use a powerful tail light (which typically cost more than this whole helmet.)","So far so good","Review from","victgoal.com"
"Oct 28, 2021","Parminder Nagarajan","5 out of 5 stars review","I really like this helmet, the fit is perfect and the visors clip in place magnetically they are secure and are just plain great. I ordered extra visors in case they get scratched and thay will. All visors of this type will get scrathed. My favorite visor I have is the multy colored one. Sure the light in the back of the helmet isn't very bright but big deal, you shouldn't rely on just that light. Any seasoned biker knows you need more than one light on the back of your bike. Anyway I gave it five stars because it deserves it especially for the price.","Super satisifed","Review from","victgoal.com"
"Oct 24, 2020","Herman Zulu","4 out of 5 stars review","Reasonable helmet. Light, but feels reasonably sturdy. I don't find it so comfortable or secure on my head, doesn't seem to fit my head shape. On the other hand, OH finds it ok for him. Comes with a bag to store it in. Goggles and visor are not attached on arrival but easy to do so. You don't have to have either on; can have none, one or both. I'm not sure the visor would stand up to being put on and off a lot, so best to pick on or off and leave it so. The goggles hold on a lot firmer than I thought they would even though they're held on with magnets. Because of where they're held on the helmet, you can actually wear glasses at the same time which is a bonus. However, I don't find the goggles are in a good position really, seem too high up and don't fully cover my glasses; it's good if you have your head down and just use your eyes to look up as they offer sun protection, but it just feels a little odd. OH didn't mind so much (doesn't wear glasses), so maybe it's just me, or the way it sits on my head! Padded chin strap and rechargeable light with variable light pattern on the back of the helmet (small charging lead included). Easily adjustable for a range of head sizes.","Decent helmet for the price, but with some issues","Review from","victgoal.com"
"Jan 22, 2020","Rosina Corwin","5 out of 5 stars review","First of all, what catches my attention was detachable google of this helmet. I think it's a pretty good and convenience design for people who wear glasses like myself. I don't like bringing an extra pair of sunglasses when I bike, so this helmet solves that problem. I can use the goggle as a my sunglasses, and I can use flip it around and stick it on the helmet when I'm not using it.Second, I like the build-in light at the back of the helmet. It has several setting and is USB rechargeable. It's build-in, so i have one less thing to worry about. I can just grab the helmet and go biking.Lastly, the overall design looks good. And I like the padding on the straps. It makes it more comfortable to wear.Cons: just one thing I can complain about and it's the tightening knot at the back of the helmet. It's too close to the helmet so it's a little hard to turn it. I think a simple redesign can fix this problem, and makes it even better","Great helmet for those wearing glasses!","Review from","victgoal.com"
"Nov 26, 2019","Leela Rattan","5 out of 5 stars review","This helmet is very light and comfortable. It is easily adjustable. The light works very well and is bright. The option of the visor is great and the magnetic goggles are really cool! They work very well. Overall, I am very pleased with this purchase!","Light and comfortable helmet","Review from","victgoal.com"
"May 7, 2022","Josue Schulist","3 out of 5 stars review","I have a small head for a bloke, headphones are almost always set to the minimum possible size.This helmet fits quite snuggly at its tightest fitting, but the chin straps are quite loose. I can tighten them but they dig in to my chin.I bought this during lockdown when the shops wouldn't let you try helmets on.This helmet is ok, the light is a nice addition and the shades are super cool! But I wouldn't have bought it if I tried it on in a shop beforehand. I kept it though, cos like I say, it's ok","It's a tight fit, and yet quite loose","Review from","victgoal.com"
"Jun 24, 2021","Laura Nair","5 out of 5 stars review","Great quality helmet. Sturdy but light weight. Detachable visor is a great idea for sunny days especially as I wear glasses. Magnets that hold the visor are really strong so it stays secure whilst riding. No fear of it dropping off. Rear light is also a great addition for safety.","Great value","Review from","victgoal.com"
"May 6, 2022","Jaclyn Rice","5 out of 5 stars review","This is a nice comfortable helmet. Good adjustment control makes it easy to adjust fit. I got the hi viz yellow. Surprised with the great optical quality of the visor. I also got the yellow visor for night riding. Haven't been out after dark yet so can't comment on the built in tail light yet but it's not very noticeable in daylight. I'm going to enjoy this helmet!","I like this helmet!","Review from","victgoal.com"
"Apr 16, 2022","Juanita Hauck","5 out of 5 stars review","I ride three or four times a week for at least 1.5 hours in the sunny Mojave desert area and needed something that would protect my head/block some sun and still let me wear my glasses. This fit the bill perfectly. The helmet is adjustable and the sun shield doesn't touch my nose or rub my face at any time but gives me a clear view with good sun protection. The shield is held on by magnets but it's strong and has never once come off while riding over bumps at higher speed. It's very comfortable. I kept the bag the shield came in and use it to store the sun shield when riding at night. I've used the light on the back a few times when night riding and it's nice to have solid/flashing/flashing faster options and have yet to charge the battery. A great buy that I'm happy I found it.","Very Comfy and Great Sun Protection","Review from","victgoal.com"
