"f7","f7 2","w_iUH7","tl-m","w_kV33","gray","gray 2"
"Mar 3, 2021","Harold Kassulke","3 out of 5 stars review","The helmet is great. My problem is that it was supposed to come with detachable sun shade, and that item was not in the box. If it was included, as advertised, I would have given the helmet 5 stars. But, I hate paying for something I did not get.","This is a comfortable, light, and good-fitting helmet","Review from","victgoal.com"
"Mar 28, 2021","Carole Huel","5 out of 5 stars review","Visor clips on easily, sun shade bit magnets on instantly if required, easy to adjust size and its very comfortable to wear and light is easy to operate","Comfortable, easy to attach parts, looks good","Review from","victgoal.com"
"Oct 26, 2021","Gertrude Mugisha","5 out of 5 stars review","The strap is easy to adjust. The inner mesh is washable and comfortable. I've owned a couple of helmets over the years and this one has great airflow and accommodates my giant head.The led light is a bonus.","Worth the money","Review from","victgoal.com"
"Oct 27, 2020","Ressie Morissette","3 out of 5 stars review","Good for the price. The visor is low quality plastic. The center piece holding it broke day 1 and its just hanging with the side ones and I wouldn't be surprised if it flies off one day while riding. Other than that, its an ok helmet","Its okay. Not great","Review from","victgoal.com"
"Oct 23, 2021","Gulab Chaudhary","5 out of 5 stars review","My head is the size of a child's and could never find an adult helmet to fit but I loved this one. I love the lights and to make it fit my head I wear a Beenie underneath. A bit warm, but safety first!","Helmet","Review from","victgoal.com"
"Jun 27, 2021","Quentin Hill","5 out of 5 stars review","This bike helmet is amazing. It breathes really well so your head doesn't get as hot. I love the face shield. I plan on ordering one of the yellow shields for night/dark rides.","Purchase this now!","Review from","victgoal.com"
"May 13, 2021","Bethel Friesen","5 out of 5 stars review","This is my 2nd Victgoal helmet. They fit great; the inside pads are easy to remove and clean. Easy to adjust the straps. They add protection as it is designed to, yet comfortable. The color scheme matches my bike colors.","Goggles protect against bugs in your eye","Review from","victgoal.com"
"Feb 25, 2021","Dax Nabimanya","5 out of 5 stars review","The helmet fits great, looks great, and will save your brain. If you use the detachable faceshield with a balaclava like I do, make sure you treat it with some anti-fog stuff.","Save your brain","Review from","victgoal.com"
"Feb 28, 2022","Lewis Baker","4 out of 5 stars review","Great idea / concept but for me I need to wear glasses underneath the magnetic visor and that was impossible for me anyway, also didn't find the helmet very comfortable compared to another make of helmet I have, shame it kinda looks cool.","Great concept ""But""","Review from","victgoal.com"
"Jul 16, 2021","Abbigail Walsh","5 out of 5 stars review","first i thought it's look like Aeroplane helmet but i found this is very usefull it's protect my eyes from wind and very comfortable to wear .just love it thought it's costly..","ultra light  and smart helmets for bike","Review from","victgoal.com"
"Oct 31, 2020","Arthur Saunders","5 out of 5 stars review","I was concerned it would not fit. I adjusted perfectly. The silver and blue are great. This is my first bike helmet ever.can not wait to use is when I get my new ebike in a couple of weeks.","It adjust to my head size.","Review from","victgoal.com"
"May 20, 2021","Makenna Yost","4 out of 5 stars review","good designed helmet and lightweight , just fits my head which measures 60cm , the magnetic visor fits securely does not detach going over bumps have not used the rear light so cant comment on , handy bag for cycling and carrying helmet","cycle helmet","Review from","victgoal.com"
"Nov 23, 2020","Chelsea Robinson","5 out of 5 stars review","I was going to return it because it wouldn't fit my head. My head is small so I have to adjust it a couple of times on the straps. The removable sunglasses feature is very helpful. thumb up!  The light on the helmet is pretty helpful too.","Love it!","Review from","victgoal.com"
"Mar 8, 2022","Tessie Graham","5 out of 5 stars review","Absoutely essential foriding in the city. Visibility is critical. Good charge time on the light, abot 4 continous hours from what I can calculate. A very small nose is necessary in order to use the eye shield., without rubbing against it.","High visibility","Review from","victgoal.com"
"Sep 14, 2021","Hulda Effertz","4 out of 5 stars review","Helmet is a comfortable fit, visor is a handy extra, that can be left off if not required, decent light on the back, overall I'm satisfied with the purchase","Comfortable helmet","Review from","victgoal.com"
"Feb 13, 2022","Varun Sani","4 out of 5 stars review","The helmet is comfortable and I've received compliments on in whole riding with my local race team, the visor is a bit dark tho so I...   recommend buying a clear one if your riding at night or low light conditions","It's a helmet","Review from","victgoal.com"
"Jul 23, 2021","Michelle Ddamulira","5 out of 5 stars review","It fits perfectly, very well made and comfortable. Visor and magnetic sun shades really makes the Victgoal Bike helmet looks very professional and expensive.","Victgoal Bike Helmet is the one to get.","Review from","victgoal.com"
"Sep 16, 2021","Kimberly Lee","5 out of 5 stars review","I am really happy with this helmet. It is light weight. Magnetic goggles are very good. I usually go on long bike rides. At times I forget I am wearing these goggles since they are so comfortable.","Good product","Review from","victgoal.com"
"Jun 17, 2021","Lalit Sidhu","5 out of 5 stars review","This is the most comfortable cycle helmet i have ever bought. The tinted eye screen is amazing and i never thought id use it. I wear glasses and this cover fits over them with space.It is quality gear that suits my needs.","Most comfortable cycle helmet ive ever had","Review from","victgoal.com"
"Mar 21, 2022","Caleb Abayisenga","5 out of 5 stars review","I have bought two of these now - one for me and one for my 23 yr old daughter. I have brown and she has fluorescent green/yellow - both are super comfortable. Hers has the improved back light which is fantastic. Highly recommend!","Brilliant helmet","Review from","victgoal.com"
"May 6, 2022","Abigail Anthony","5 out of 5 stars review","I love the way it looks and feels, easy to tighten and expand. The extra sun clip has magnets and makes it easy to put on and take off. Definitely recommend it.","Great helmet","Review from","victgoal.com"
"Jul 5, 2021","Claire Ross","5 out of 5 stars review","It is comfortable, has a sun visor which is vital in a bike helmet, and has a magnetic eye shield which keeps wind from tearing up my eyes. Very nice!","Nice bike helmet!","Review from","victgoal.com"
"Jul 12, 2021","Melissa Parker","5 out of 5 stars review","Seems a nice helmet, love the visor and the fact it comes with a bag, the light on the back could always be brighter for daylight use but it's not bad","Comfortable","Review from","victgoal.com"
"Jun 16, 2021","Ramesh Banik","5 out of 5 stars review","I am so happy with this helmet! It is so light and I love the design! It looks so cool and the features exceeded my expectations! Very comfortable for everyday use! I love the chin strap too! Thanks Victgoal!","This helmet is so cool!","Review from","victgoal.com"
"Jun 25, 2022","Ujwal Mehra","5 out of 5 stars review","Great quality product really protects your head comfortable to wear easy to adjust the vizier is excellent it keeps the cold out of your eyes and keeps the sun rays from dazzling you good value for money","Tough at the top","Review from","victgoal.com"
"Aug 5, 2021","Andrew Clarke","5 out of 5 stars review","Really like it, cool shape and style.Best feature is the magnet visor.Led light on the back is a nice feature.Very adjustable and comfortable.Feels strong and safe, although I'm not keen on testing this out on a car.","Cool, Sleek, Sturdy","Review from","victgoal.com"
"Mar 19, 2021","Brad Nienow","5 out of 5 stars review","Great Helmet.Its fits perfect, very comfortable, looks sleek, and the visor is a great addition.The Flashing light on the back of the helmet is very cool.Love it!","Quality!","Review from","victgoal.com"
"May 31, 2021","Gabriel Ferreira","3 out of 5 stars review","The Sunshield Is Very Uncomfortable, cuys into the bridge of nose.I wore it for one season, the chin strap does not get snug enough, the padding by the forehead deterirated.Of most concern is the sun shield cutting into my nose.","The Sunshield Is Very Uncomfortable, cuys into the bridge of nose.","Review from","victgoal.com"
"Jul 1, 2021","Himani Walia","3 out of 5 stars review","The light dont charge i received a replacement and that doesn't charge either very disappointed with the item charged for hours and nothing i would like a refund for the faulty light but il keep the helmet","Decent helmet but light don't charge","Review from","victgoal.com"
"Oct 30, 2021","Lolade Aligbe","5 out of 5 stars review","This helmet provides comfortable and lightweight full head coverage. The added feature of an easy reachable rear light is a plus. For people who appreciate proactive safety and have something to protect, this helmet is a nice , reasonable choice.","Comfortable safe coverage.","Review from","victgoal.com"
"May 6, 2022","Cole Spencer","5 out of 5 stars review","Husband and I have very much enjoyed the helmets. They have been comfortable and I like the red light in the back. Husband has used the clip on shield and says it's easy and nice to use. We would buy these helmets again.","Comfortable","Review from","victgoal.com"
"Apr 13, 2021","Selina Lee","5 out of 5 stars review","This item is all that I asked for. Really comfortable and very lightweight and the visor is brilliant. The light on the back is also really good. Highly recommended","Bike helmet","Review from","victgoal.com"
"Jun 5, 2021","Autumn Grimes","5 out of 5 stars review","This helmet looks good and the fit is easily adjustable, even while riding. The rechargeable safety light works well and is easy to use and recharge. And at this price it is quite a value.","Great Helmet","Review from","victgoal.com"
"Sep 5, 2021","sifiso White","4 out of 5 stars review","The rear light is more visible to drivers since it's up on my head, not under my seat. The batteries last a long time and are rechargeable. The goggles are more effective than sunglasses and I can wear my regular glasses under them.","I love the goggles and rear light.","Review from","victgoal.com"
"May 5, 2020","Sydni Dare","5 out of 5 stars review","Excellent budget helmet. I was in the Trek shop the other day and picked up one of their $200 helmets too see if it was substantially lighter, it was not. For my purposes this helmet is perfect. I've been using it daily for a couple of weeks now.","Excellent Value","Review from","victgoal.com"
"Aug 12, 2020","Fabian Kovacek","5 out of 5 stars review","It's what I was hoping it would be. Has a visor, a face shield or can wear it free of either. Plus the light on the back makes you feel a little bit safer! Plenty of options.","Awesome helmet!","Review from","victgoal.com"
"Apr 9, 2021","Boitumelo Brits","5 out of 5 stars review","Good rear blinking light?Check!Cool, super strong magnet, magnetically attached sunglasses visor?Check!Prevents a concrete-to-forehead concussion and road-rash that would sand off your ear?Check!Seriously, it's a good helmet. It's worth it.","It looks just as cool as you think it does.","Review from","victgoal.com"
"Nov 5, 2021","Porter Lind","5 out of 5 stars review","Great helmet for riding with awesome ventilation, durability, and style. It's perfect for night riding because of the light on back. 10/10 Helmet for the price!","Comfortable, Durable & Affordable","Review from","victgoal.com"
"Jun 8, 2022","Daniel Price","5 out of 5 stars review","Nice helmet. Has slots for airflow. Like the snap on magnet feature for eye protection. Really like the red light on back of helmet. Size is adjustable with brackets.","Get it","Review from","victgoal.com"
"Jul 25, 2021","Gunjan Divan","5 out of 5 stars review","This helmet has a dial that allows you to get a custom fit, very cool. It also has a light on the back that has 3 settings (constant light or 2 flashing modes) Lightweight, too.","Adjustable fit & more","Review from","victgoal.com"
"Aug 29, 2020","Rogers Akashabe","5 out of 5 stars review","love this helmet, very comfortable. love the magnetic removable visors and the flashing red light in back of the helmet. maybe in the future they could add a flashing light to the front also otherwise worth the investment if you ride a lot.","bike helmet","Review from","victgoal.com"
"Jul 10, 2022","Loy Parker","5 out of 5 stars review","I smacked my head doing 25 on a sidewalk Against a low hanging branch punctured my helmet but it protected my head money well spent","I smacked my head against a low hanging branch And I'm still here","Review from","victgoal.com"
"Mar 13, 2022","Norbert O'Connell","5 out of 5 stars review","Use the helmet everyday great features with light an the back of the helmet and the detachable sun glasses.","Great product love the removable sun glasses","Review from","victgoal.com"
"May 25, 2020","Olumide Mobolaji","5 out of 5 stars review","Best helmet for the money ...very light well made and comes with all the accessories u need ..thumbs up for this product","very nice","Review from","victgoal.com"
"May 26, 2022","Savanna Hills","5 out of 5 stars review","The fit adjustment works great, and the helmets are comfortable. The visor fits over our glasses, and the light on the back charges quickly.","Bought two and we love them!","Review from","victgoal.com"
"Feb 1, 2021","Andy Carter","5 out of 5 stars review","Just as advertised. Easy to assemble. Visor works like a charm. Fairly snug fit on my head, but certainly shouldn't fly off.","As advertised.","Review from","victgoal.com"
"May 30, 2022","Toluwani Ismail","5 out of 5 stars review","It is very comfortable and easy to adjust the size to your head size. The light in the back helps a lot and is very useful.","Great","Review from","victgoal.com"
"Feb 28, 2021","Zaad Jhaveri","5 out of 5 stars review","I gave the comfort 4 stars because the fit is different with the lense in place. It takes some time to adjust for it.","Really nice for the price.","Review from","victgoal.com"
"Aug 9, 2021","Varun Mangat","5 out of 5 stars review","It amazes me the built quality that the Belmont has for the price I paid. Would definitely recommend!","Great helmet","Review from","victgoal.com"
"Jul 10, 2021","Luna Nienow","5 out of 5 stars review","Excellent cycling helmet five stars for style and comfort definitely the best cycle helmet I've own over the years.","Excellent product.","Review from","victgoal.com"
"Sep 7, 2020","Anabel Mwesige","5 out of 5 stars review","I don't really know what else to say now.....it does a great job of keeping my skull round and dentless.","Great bike helmet!","Review from","victgoal.com"
"Sep 11, 2020","Sumit Sawhney","5 out of 5 stars review","Love the lid but i still havent figured out to get the chin pad UNDER my chin . Light battety has been going for 4 two hour runs. Good battery life.","a happy purchase","Review from","victgoal.com"
"Apr 17, 2021","Gary Pillay","4 out of 5 stars review","I bought this for my MTB but found it a did not give enough protection. I went full face. It is fine for road bikes.","Decent helmet","Review from","victgoal.com"
"May 3, 2021","Clyde Ryan","5 out of 5 stars review","Nice fitting helmet. It does not sit high on your head like some helmets do. Bright light on the back with 3 settings.","Nice fit","Review from","victgoal.com"
"May 3, 2021","Milford Nikolaus","5 out of 5 stars review","Nice fit. Can wear protective goggles over prescriptions eye glasses. I purchased clear google as my eyeglasses have transitional lenses.","Nice helmet","Review from","victgoal.com"
"Jun 3, 2021","Janelle Kirabira","5 out of 5 stars review","My grandson loves this helmet fits really good. He loves how the visor just snaps on the front of the helmet. Really nice helmet.","Grandson Loves It","Review from","victgoal.com"
"May 16, 2022","Bridgette Kuhic","5 out of 5 stars review","Great fit, straps on both sides are adjustable, there's a safety light with three settings, a sun visor, and more!","You're gonna love  this helmet","Review from","victgoal.com"
"May 18, 2020","Nhlanhla Jackson","5 out of 5 stars review","I ride for pleasure and this helmet has it all. Easy to adjust, a builtin tail light, and a magnetic dark visor. Pretty go ventilation. I love it.","Crusing Helmet","Review from","victgoal.com"
"Jul 18, 2022","Octavia Stamm","5 out of 5 stars review","Good cycling helmet unfortunately I ordered the wrong size but looked really cool... will order another size","Order the right size","Review from","victgoal.com"
"Jan 6, 2021","Rachael Windler","5 out of 5 stars review","I like the construction, the addition features and the adjustable size. Our grandson will be able to enjoy for years","Great construction","Review from","victgoal.com"
"Jan 20, 2021","Tope Motalo","5 out of 5 stars review","These are great helmets. They have thought out engineering with users in mind. We own two of these helmets and would definitely recommend them.","High Quality and Inovative","Review from","victgoal.com"
"Oct 30, 2020","Nigel Walters","5 out of 5 stars review","My eyes water a lot when hit by wind. The goggles on this helmet completely take care of that problem.","Eye protection from wind","Review from","victgoal.com"
"Apr 30, 2021","Aminat Agnes","5 out of 5 stars review","The bicycle helmet was there but I didn't have to open the box,just reach down and pick up the helmet.","It is an excellent helmet thanks.","Review from","victgoal.com"
"Mar 9, 2021","Retha Bins","5 out of 5 stars review","This helmet provided much needed protection when I took a spill on bike path landing on my head.....works great","Tried and True..","Review from","victgoal.com"
"Mar 24, 2021","Lee Lang","4 out of 5 stars review","Just a tad too small but otherwise great! Thankfully I have a Son who needs one and it will be super perfect for him","Good buy just not for me","Review from","victgoal.com"
"May 21, 2021","Uzodimma Ogunwande","5 out of 5 stars review","Great helmet and comfortable stops rain running down but does cause eyes to water in very cold temperature as air sucks up and through over eyes","Comfy helmet","Review from","victgoal.com"
"Jun 21, 2022","Lola Samuel","5 out of 5 stars review","Can be easily seen by others both day, dusk, and at night.May seem a little pricey but well worth it with the manitic visor","Visible","Review from","victgoal.com"
"Jun 26, 2020","Thandeka Swartz","5 out of 5 stars review","Love how light the helmet is and the magnetic removable visor is great for sunlight and preventing bugs to hit your face","Love it","Review from","victgoal.com"
"Dec 3, 2020","Maria Bailey","5 out of 5 stars review","Excellent helmet. I'm very satisfied and I highly recommend. Excellent fit, very lightweight but sturdy. I love the magnetic face shield.","Excellent, stylish, well made helmet that fits great.","Review from","victgoal.com"
"Oct 20, 2021","Yakubu Yaqub","5 out of 5 stars review","This helmet is so comfortable you barely know it's on your head. Would definitely purchase this again.","Very comfortable helmet!","Review from","victgoal.com"
"Apr 21, 2021","Ramon Hand","5 out of 5 stars review","Perfect. can't go wrong with this one. Plastic magnetic lenses have some distortion but that would be expected.","Perfect.  You can't go wrong with this one.  Plastic magnetic lenses have some distortion.","Review from","victgoal.com"
"Jul 30, 2021","Amanda Green","5 out of 5 stars review","The helmet is nice and fits really well. The tightening mechanism is great and the light on the back is a big plus.","Good helmet for the price.","Review from","victgoal.com"
"Jul 12, 2021","Sierra Were","5 out of 5 stars review","Nice cycle helmet. Lightweight and also has a built in light with a cable to charge it. Comfortable and comes in many nice colours","Comfortable and lightweight","Review from","victgoal.com"
"May 9, 2021","Gayatri Anand","1 out of 5 stars review","Not a good fit at all and the seller was not responsive. Unless your head is really big, give it a miss.","Not a good fit!","Review from","victgoal.com"
"Jan 20, 2021","Faye Collins","5 out of 5 stars review","I bought this for my husband. He really likes it. Loved the color the weight and style. Great price.","Light weight, durable, breathable great price","Review from","victgoal.com"
"Oct 4, 2021","Indira Dubey","5 out of 5 stars review","Very comfortable! You can adjust to fit your head just by turning a knob. The light on the back of the helmet adds safety to your ride.","Great helmet","Review from","victgoal.com"
"Aug 18, 2021","babalwa Van Rooyen","5 out of 5 stars review","This helmet looks cool with a face mask and is comfortable protecting you're head preventing any serious brain injury","Comfy protection","Review from","victgoal.com"
"Jul 9, 2022","Saul Bartell","5 out of 5 stars review","There's so much is comfortable attractive easy to adjust and has all the features you need for a bike helmet.","Great helmet","Review from","victgoal.com"
"Aug 25, 2020","Mark Bell","5 out of 5 stars review","Bought it for my wife. She has long hair and She did not complain about anything, she enjoyed wearing it. Wife is happy, I am happy.. :)","looks and feels awesome","Review from","victgoal.com"
"Jun 29, 2021","Johathan Mulalira","5 out of 5 stars review","I love the helmet. First I did was shoot a video of my taking the visors off and saying (Friends) Joey's famous line "" How You Doin?""","Very stylish and sturdy","Review from","victgoal.com"
"Nov 6, 2021","Padama Parmer","5 out of 5 stars review","I definitely like the magnetic visor. Visor is very easily installed on and off the helmet. A great quality product. Fits perfectly and comfortably.","magnetic visor is a plus","Review from","victgoal.com"
"Oct 19, 2020","William Tendo","5 out of 5 stars review","I bought the helmet for riding my electric bike. I feel secure with it. It is size adjustable. Good quality","Nice helmet","Review from","victgoal.com"
"Jan 7, 2021","Reynold Rutherford","5 out of 5 stars review","Cycle helmet very good value for money the magnetic detachable visor very useful lightweight and comfortable","Very good","Review from","victgoal.com"
"Oct 8, 2021","Deanna Lindgren","5 out of 5 stars review","Love the magnetic eye shield. I use it instead of my sun glasses because it does a better job at blocking the wind as well.","Love the magnetic eye shield!","Review from","victgoal.com"
"Sep 16, 2020","Bijoy Boase","5 out of 5 stars review","Comfortable,practical and ideal with the magnetic glasses and rear lights with multiple setting. Easy and quick to charge","Great all round helmet","Review from","victgoal.com"
"Feb 9, 2020","Alaina Bernier","5 out of 5 stars review","Totally awesome comfortable lightweight magnetic visor fits over my glasses it is the best helmet I just love it.","Excellent helmet","Review from","victgoal.com"
"Jul 7, 2022","Kalyani Srinivas","5 out of 5 stars review","Fits perfect I like the visor and it has all the safety pieces all in all you pay for quality and all else that's why I got this helmet","Awesome helmet","Review from","victgoal.com"
"Dec 1, 2021","Mary O'Keefe","5 out of 5 stars review","I bought the helmet for my wife she loved it, it fits nice it looks good and she really liked the visor that's on it cuz it clips on with ease.","I bought it for my wife and she loved it !","Review from","victgoal.com"
"Sep 8, 2021","Dean Parker","5 out of 5 stars review","I use on my Segways and Bikes. I've had it for several weeks, and no issues. Light on back works great, too!","Very nice for the $$$!!!","Review from","victgoal.com"
"Feb 17, 2021","Elisabeth Connelly","5 out of 5 stars review","I love the magnetic face shield and the fact that you can get several different colors for night riding etc.","Very comfortable to wear!","Review from","victgoal.com"
"Jun 1, 2022","Wendy du Toit","5 out of 5 stars review","Chin straps a little hard to get adjusted right but all in all very good product Reflector light on helmet last a long time and charges very fast","Chin straps a little hard to get adjusted right","Review from","victgoal.com"
"Nov 12, 2021","Chanelle Waters","5 out of 5 stars review","The helmet is awesome it has a hair net to keep your hair moisture. I enjoy the comfortable fit, the sun viewer and the rear light for extra safety.","Cool","Review from","victgoal.com"
"Jul 3, 2020","Monroe Douglas","5 out of 5 stars review","Very comfortable! I love the look of it!The attachments are easy to connect to the helmet, and they look cool.","Comfortable Helmet","Review from","victgoal.com"
"Nov 24, 2021","Chinyere Amaechi","4 out of 5 stars review","Eyeglasses won't fit under the face shield. Otherwise this helmet is lightweight and an outstanding value. It is available in multiple colors.","Eyeglasses won't fit under the face shield.","Review from","victgoal.com"
"Aug 25, 2021","Nonhlanhla Mnisi","5 out of 5 stars review","Looks stylish and og good quality. Pleased with the in- built light and will feel more confident when out cycling.","Pleased","Review from","victgoal.com"
"Sep 27, 2021","London Nolan","4 out of 5 stars review","Helmet was as described. But the information was not clear","Information not clear","Review from","victgoal.com"
"Sep 2, 2020","Next Fredericks","4 out of 5 stars review","Good product. Instructions could be better but I was able to set it up, size it and get it fitted.","Nice looking and functional","Review from","victgoal.com"
"Apr 10, 2022","Venkat Butala","5 out of 5 stars review","Great piece of kit husband loves it","Great piece of kit","Review from","victgoal.com"
"Mar 15, 2021","Harbhajan Manne","5 out of 5 stars review","Solve the purpose but the glasses are little lose to wear","Solve the purpose","Review from","victgoal.com"
"Oct 11, 2021","Mia Green","5 out of 5 stars review","This helmet is beyond expectation excellent buy","Perfect and as described","Review from","victgoal.com"
"Jul 13, 2021","Debbie Patel","1 out of 5 stars review","The helmet bill did not snap in, in the center","Defective","Review from","victgoal.com"
"Apr 21, 2021","Mustafa Sahni","5 out of 5 stars review","Very nice, comfortable and stylish","Superior Comfort and Design","Review from","victgoal.com"
"Feb 10, 2022","Judson Wintheiser","5 out of 5 stars review","Would like to upgrade to blue tooth eventually","Value and price is very good","Review from","victgoal.com"
"Sep 5, 2021","Zach Stewart","5 out of 5 stars review","Fits well. Looks awesome and the dark visor is fantastic","Awesome helmet","Review from","victgoal.com"
"Jan 9, 2022","Muyiwa Christian","5 out of 5 stars review","Perfect. Visor, strap, eye cover, safety light. Would never buy another brand","I love this helmet, would never anything else","Review from","victgoal.com"
"Apr 5, 2022","Tshegofatso Baloyi","5 out of 5 stars review","Best helmet I've ever had!!!","Love this helmet!","Review from","victgoal.com"
"Jun 12, 2022","Leo Lewis","1 out of 5 stars review","this was cracked from one side to the other, returned for refund","returned as cracked","Review from","victgoal.com"
"Oct 3, 2020","Julie Som","1 out of 5 stars review","It's not what I thought it was going to be I don't want it! What can I do???","Don't want the product, how do I go about getting a refund","Review from","victgoal.com"
"Aug 26, 2020","Lola Iyalla","5 out of 5 stars review","The detachable shades is my favorite part of the helmet.","Quality","Review from","victgoal.com"
"Jan 2, 2021","Sekinat Nwuzor","5 out of 5 stars review","loved the product, delivery was first class, very satisfied with the entire transaction","Exactly as advertised","Review from","victgoal.com"
"Oct 3, 2021","Dominique Heaney","5 out of 5 stars review","Nothing to dislike, my son was well pleased with it.","Perfect product, just as described, would recommend!","Review from","victgoal.com"
"Sep 6, 2021","Darren Schmidt","5 out of 5 stars review","I'm using it for a scooter","Most important is the protection","Review from","victgoal.com"
"Jun 15, 2022","Danjuma Funmilayo","5 out of 5 stars review","Needed a way to be more visible at night. Perfect!","Bright!","Review from","victgoal.com"
"Jun 9, 2021","Louis Richards","5 out of 5 stars review","Awesome love the magnetic sun visor","Protection","Review from","victgoal.com"
"Mar 10, 2021","Etha Hand","5 out of 5 stars review","It's good helent very comfy first time wearing helmet I would get this item again","Helmet","Review from","victgoal.com"
"May 28, 2021","Chisom Tolulope","2 out of 5 stars review","Too big. No choice of size","Large for my head","Review from","victgoal.com"
"Aug 2, 2020","Dorris Bbosa","5 out of 5 stars review","Best helmet I've ever had. Really a great purchase!","Best!","Review from","victgoal.com"
"Jan 22, 2021","Payton Gerlach","2 out of 5 stars review","I don't like it because the visor of the helmet didn't arrive","Not satisfied","Review from","victgoal.com"
"Apr 21, 2021","Kraig Stamm","5 out of 5 stars review","It met my expectations and even fit without any adjustments.","As advertised.","Review from","victgoal.com"
"Jan 15, 2022","Audrey Grady","5 out of 5 stars review","I got 2 helmets and we love them","Helmet","Review from","victgoal.com"
"Apr 20, 2022","Daren Kautzer","5 out of 5 stars review","Love the USB charging option for the light! We had the model before and this is a nice upgrade!","Great helmet","Review from","victgoal.com"
"Aug 14, 2021","Douglas Von","3 out of 5 stars review","Good helmet, but in cambados it lacks quality.","A good product.","Review from","victgoal.com"
"Jul 5, 2021","Buck Streich","5 out of 5 stars review","Great product for my usage!","Love the magnetic visor!","Review from","victgoal.com"
"Feb 14, 2022","Heather Carter","5 out of 5 stars review","Easy to adjust and magnetic goggles are awesome.","Wife loves it!!","Review from","victgoal.com"
"Nov 6, 2021","Josh Homenick","5 out of 5 stars review","The fit is perfect. Very comfortable. The looks are very nice.","Great helmet for the price.","Review from","victgoal.com"
"Nov 3, 2020","Martha Wessels","5 out of 5 stars review","Strap adjustment a bit fiddly","Lightweight and comfy","Review from","victgoal.com"
"Jun 16, 2021","Zandile Clarke","4 out of 5 stars review","Returned. Sizing was large","Ran large.","Review from","victgoal.com"
"Jul 2, 2022","Tumelo Cooper","5 out of 5 stars review","Liked so much ordered a Red one too.","Liked so much ordered a Red one too.","Review from","victgoal.com"
"Jan 20, 2021","Deanna Ruecker","5 out of 5 stars review","Liked everything about it. Great product !!","Outstanding","Review from","victgoal.com"
"Dec 10, 2020","Bishnu Sankaran","5 out of 5 stars review","Bought for my partner he thinks it's great just as expected","Just as expected","Review from","victgoal.com"
"Sep 11, 2021","Jammie D'Amore","4 out of 5 stars review","The only reason I gave it 4 stars is that the visor is too dark.","Nice helmet","Review from","victgoal.com"
"May 6, 2022","Cecilia Ullrich","3 out of 5 stars review","Cheap material but attractive","Safety concerned","Review from","victgoal.com"
"Sep 23, 2021","Baby Stokes","4 out of 5 stars review","Wish it would adjust the head circumference a little bit smaller.other than that pretty good.","Not bad","Review from","victgoal.com"
"Jan 3, 2022","Tara Khan","5 out of 5 stars review","Great helmet and love the detachable sun visor.","Great Comfortable Helmet","Review from","victgoal.com"
"Mar 18, 2020","Ruth Adams","5 out of 5 stars review","I use the Victgoal bike helmet in urban hill areas and bikeways.","Take your time. Adjust with/without longer hair, headbands, and ear covers","Review from","victgoal.com"
"Nov 30, 2019","Kanika Iyengar","5 out of 5 stars review","This is just what I was looking for. Good buy","Helmet","Review from","victgoal.com"
"Nov 23, 2021","Shyanne Franecki","5 out of 5 stars review","Very comfortable, nice helmet.","Great helmet","Review from","victgoal.com"
"Nov 21, 2020","Chimamanda Aremu","5 out of 5 stars review","The helmet I got missed the visor. I contacted the seller, they sent two visors to me.","good quality and customer service","Review from","victgoal.com"
"Jul 22, 2021","Gaston Mugisha","5 out of 5 stars review","Excellent Helmut, Great Quality, 5 Stars!","Excellent Quality","Review from","victgoal.com"
"Jul 6, 2021","Bernhard Boyer","5 out of 5 stars review","Very nice and attractive helmet with a comfortable fit.","Very nice and attractive helmet with a comfortable fit.","Review from","victgoal.com"
"Apr 29, 2022","Blanche Kessler","5 out of 5 stars review","Comfortable. Love the rechargeable light.","Senior Safety.","Review from","victgoal.com"
"Oct 31, 2020","Dennis Holmes","5 out of 5 stars review","Comfortable and lightweight. Good ventilation on hot days riding in Texas.","Nice helmet!","Review from","victgoal.com"
"Sep 8, 2020","Katlynn Jast","4 out of 5 stars review","Beautiful helmet, but it didn't fit the shape of my head.","Bike Helmet","Review from","victgoal.com"
"Jan 30, 2022","Funmilayo Wilcox","5 out of 5 stars review","Needed more detailed instructions","Feel protected","Review from","victgoal.com"
"Aug 12, 2021","Riley James","5 out of 5 stars review","This is a really nice helmet and looks cool too !","Cool Look!","Review from","victgoal.com"
"Jul 21, 2020","Bonnie Bernhard","5 out of 5 stars review","Great product, fits very well.","Bike helmet","Review from","victgoal.com"
"Dec 22, 2020","Sekinat Balogun","5 out of 5 stars review","Fits great..was on time..well worth the money","Great product","Review from","victgoal.com"
"Jul 25, 2021","Carrie Powell","5 out of 5 stars review","Great helmet very light weight and comfortable","Great value for the money","Review from","victgoal.com"
"Nov 8, 2021","Ikhidie Egbochukwu","5 out of 5 stars review","Chin strap cushion does not go all the way across","Good even during day","Review from","victgoal.com"
"Feb 6, 2020","Chitranjan Bhalla","5 out of 5 stars review","The helmet even fits my big head. Looks and feels great","Pleasently surprised","Review from","victgoal.com"
"Dec 24, 2021","Sumayyah Isreal","5 out of 5 stars review","Built in light is fantastic.","Very comfortable","Review from","victgoal.com"
"Jun 19, 2022","Jerald Turcotte","5 out of 5 stars review","Light weight and very comfortable","Comfortable","Review from","victgoal.com"
